prioridade,score_oportunidade,id,escola,municipio,sre,objeto,prazo,dias_para_prazo,status,margem_pct,custo_estimado,preco_sugerido,sync_olist
"alta","83","2026006457","EE DOUTOR PEDRO DIAS DOS REIS","Ibiá","SRE Uberaba","Material Pedagógico de Segurança","2026-03-06","-14","aberto","18.03","8658","10562.76","nao_enviado"
"alta","83","2026004063","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-06","-14","aberto","18.03","11344","13839.68","nao_enviado"
"alta","83","2026008576","EE JOAQUIM TIAGO DE QUEIROZ","Iturama","SRE Uberaba","Prêmio SAEB","2026-03-07","-13","aberto","18.03","18280","22301.6","nao_enviado"
"alta","83","2026005049","EE MARECHAL HUMBERTO ALENCAR CASTELO BRANCO","Uberaba","SRE Uberaba","Equipamentos de Segurança","2026-03-07","-13","aberto","18.03","13231","16141.82","nao_enviado"
"alta","83","2026009033","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","11463","13984.86","nao_enviado"
"alta","83","2026009036","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","11548","14088.56","nao_enviado"
"alta","83","2026009039","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","11616","14171.52","nao_enviado"
"alta","83","2026009042","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","11684","14254.48","nao_enviado"
"alta","83","2026009045","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","11735","14316.7","nao_enviado"
"alta","83","2026009048","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","11786","14378.92","nao_enviado"
"alta","83","2026009054","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","11939","14565.58","nao_enviado"
"alta","83","2026009062","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","12092","14752.24","nao_enviado"
"alta","83","2026009190","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","14880","18153.6","nao_enviado"
"alta","83","2026009192","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","14931","18215.82","nao_enviado"
"alta","83","2026009196","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","15016","18319.52","nao_enviado"
"alta","83","2026009198","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","15067","18381.74","nao_enviado"
"alta","83","2026009201","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","15169","18506.18","nao_enviado"
"alta","83","2026009209","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","15322","18692.84","nao_enviado"
"alta","83","2026009210","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","15356","18734.32","nao_enviado"
"alta","83","2026009212","EE PROFESSORA CECILIA MARIA DE REZENDE NEVES","Tapira","SRE Uberaba","Manutenção e Reformas","2026-03-08","-12","aberto","18.03","15390","18775.8","nao_enviado"
